"시점",북한,남한
"2000",12.2,-
"2002",8.7,-
"2003",-,0.9
"2004",8.5,-
"2008",-,0.6
"2009",5.2,-
"2011",-,0.5
"2012",4.0,-
"2014",-,0.6
"2017",2.5,0.9
"2020",-,0.2
